,Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
94,Public Buildings, Melbourne City Council,Conservatory,144.97855970000000,-37.81400213,,,East Melbourne,"['Melbourne City Council', 'East Melbourne', 'Tourist', 'Public Buildings']"
95,Public Buildings, Melbourne City Council,Melbourne Childrens Court,144.95829890000000,-37.81250776,,,Melbourne City,"['Melbourne City Council', 'Melbourne City', 'Tourist', 'Public Buildings']"
96,Public Buildings, Melbourne City Council,County Court Melbourne,144.9577342,-37.81320116,,,Melbourne City,"['Melbourne City Council', 'Melbourne City', 'Tourist', 'Public Buildings']"
97,Visitor Centre, Melbourne City Council,Melbourne Visitor Centre,144.9679371,-37.81773524,,,Melbourne City,"['Melbourne City Council', 'Melbourne City', 'Tourist', 'Visitor Centre']"
98,Outdoor Recreation Facility, Melbourne City Council,Melbourne Zoo,144.95137120000000,-37.78444493,,,Parkville,"['Melbourne City Council', 'Parkville', 'Tourist', 'Outdoor Recreation Facility', 'Zoo']"
99,Observation Tower/Wheel, Melbourne City Council,Melbourne Star Observation Wheel,144.9375889,-37.81161637,,,Docklands,"['Melbourne City Council', 'Docklands', 'Tourist', 'Observation Tower/Wheel']"
100,Outdoor Recreation Facility, Melbourne City Council,Wonderland Park,144.9368337,-37.81169454,,,Docklands,"['Melbourne City Council', 'Docklands', 'Tourist', 'Outdoor Recreation Facility', 'Park']"
101,Indoor Recreation Facility, Melbourne City Council,Artplay,144.9715426,-37.81841988,,,Melbourne City,"['Melbourne City Council', 'Melbourne City', 'Tourist', 'Indoor Recreation Facility']"
102,Indoor Recreation Facility, Melbourne City Council,Icehouse,144.935684,-37.81218812,,,Docklands,"['Melbourne City Council', 'Docklands', 'Tourist', 'Indoor Recreation Facility']"
103,Outdoor Recreation Facility, Melbourne City Council,Riverside Park,144.9156071,-37.79483753,,,Kensington,"['Melbourne City Council', 'Kensington', 'Tourist', 'Outdoor Recreation Facility', 'Park']"
104,Outdoor Recreation Facility, Moonee Valley City Council,Melbourne Showgrounds,144.9108221,-37.78230979,,,Ascot Vale,"['Moonee Valley City Council', 'Ascot Vale', 'Tourist', 'Outdoor Recreation Facility']"
105,Indoor Recreation Facility, Melbourne City Council,Carlton Baths,144.9716965,-37.79343770000000,,,Carlton,"['Melbourne City Council', 'Carlton', 'Tourist', 'Indoor Recreation Facility']"
106,Observation Tower/Wheel, Melbourne City Council,Eureka Skydeck 88,144.96462220000000,-37.82161876,,,Southbank,"['Melbourne City Council', 'Southbank', 'Tourist', 'Observation Tower/Wheel']"
