,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
0,Yarra City Council,Citizenâs Park Oval and Jack Dyer Pavilion,Richmond,-37.817218,145.000351,Athletics,1.0,Grass Running Track,2. Poor,"Female, Male, Umpire/Officials",Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Athletics']",,
1,Yarra City Council,George Knott Athletics Track and Ray Coverdale Pavilion,Clifton Hill,-37.784205,145.002319,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Heidelberg Road Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Athletics']",,
2,Yarra City Council,Alfred Crescent Oval and Pavilion,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Football']",,
3,Yarra City Council,Alphington Park Oval and Pavilion,Alphington,-37.783779,145.029131,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Parkview Road Alphington 3067,,"['Yarra City Council', 'Alphington', 'Sports', 'Football']",,
4,Yarra City Council,Loughan Oval and Johnson Pavilion,Burnley,-37.828576,145.020462,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Football']",,
5,Yarra City Council,Ramsden Street Oval and Pavilion,Fairfield,-37.789873,145.00311100000000,Australian Rules Football,1.0,Grass,2. Poor,,Ramsden Street Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Football']",,
6,Yarra City Council,Victoria Park,Abbotsford,-37.79858,144.996607,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Turner Street Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Football']",,
7,Yarra City Council,W T Peterson Oval & Edinburgh Gardens Change Rooms,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Football']",,
8,Yarra City Council,Collingwood Secondary College,Collingwood,-37.803256,144.98903,Basketball,2.0,Wooden Gymnasium,3. Average,,Mc Cutcheon Way Collingwood,,"['Yarra City Council', 'Collingwood', 'Sports', 'Basketball']",,
9,Yarra City Council,Fitzroy Secondary  School,Fitzroy,-37.800909,144.979157,Basketball,1.0,Wooden Gymnasium,,,Falconer Street Fitzroy,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Basketball']",,
10,Yarra City Council,Melbourne Girls College,Burnley,-37.82969,145.012699,Basketball,2.0,Wooden Gymnasium,,,Yarra Boulevard Burnley,,"['Yarra City Council', 'Burnley', 'Sports', 'Basketball']",,
11,Yarra City Council,Princes Hill Seconary College,Princes Hill,-37.781818,144.966587,Basketball,1.0,Wooden Gymnasium,,,Arnold Strret Princes Hill,,"['Yarra City Council', 'Princes Hill', 'Sports', 'Basketball']",,
12,Yarra City Council,Edinburgh Gardens Bocce Courts,Fitzroy,-37.78753,144.982377,Bocce,1.0,,,,Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports']",,
13,Yarra City Council,Hardy Gallagher Reserve Bocce Courts,Princess Hill,-37.779197,144.967058,Bocce,3.0,,,,Park Street Princess Hill 3054,,"['Yarra City Council', 'Princess Hill', 'Sports']",,
14,Yarra City Council,Melbourne Aboriginal Sport and Recreation Gym,Fitzroy,-37.805467,144.974449,Boxing,,,3. Average,,Gertrude Street Fitzroy,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Boxing']",,
15,Yarra City Council,Richmond Boxing Club,Richmond,-37.81838,145.001525,Boxing,,,2. Poor,"Female, Male",Gleadell Street Richmond,,"['Yarra City Council', 'Richmond', 'Sports', 'Boxing']",,
16,Yarra City Council,Stanton Street Hall,Collingwood,-37.801956,144.98816400000000,Boxing,,,4. Good,,Stanton Street Collingwood,,"['Yarra City Council', 'Collingwood', 'Sports', 'Boxing']",,
17,Yarra City Council,Richmond Recreation Centre,Richmond,-37.817688,145.002381,Canoe Polo,,,,,Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Polo']",,
18,Yarra City Council,Fairfield Canoe Club,Fairfield,-37.785639,145.01875900000000,Canoeing,,,,,"Fairfield Canoe Club, The Esplanade, Fairfield, City of Yarra, Victoria, 3078, Australia",,"['Yarra City Council', 'Fairfield', 'Sports', 'Canoeing']",,
19,Yarra City Council,Alan Bain Reserve and Pavilion,Cremorne,-37.830218,145.001134,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Church Street Cremorne 3121,,"['Yarra City Council', 'Cremorne', 'Sports', 'Cricket']",,
20,Yarra City Council,Burnley Park Oval and OâConnell Pavilion,Burnley,-37.826103,145.01414500000000,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Park Grove Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Cricket']",,
21,Yarra City Council,Corben Oval,Abbotsford,-37.795643,145.00771800000000,Cricket,1.0,Turf Pitch,2. Poor,Male,Yarra Bend Road Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Cricket']",,
22,Yarra City Council,Fairfield Park Oval and Maxwell Sutherland Pavilion,Fairfield,-37.785738,145.009954,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Yarra Bend Road Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']",,
23,Yarra City Council,Fairlea Ovals,Fairfield,-37.795643,145.00771800000000,Cricket,2.0,Synthetic Pitch,1. Very Poor,Male,Yarra Bend Road Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']",,
24,Yarra City Council,Fletcher 1 and 2 Soccer Pitches and Graham Pavilion,Burnley,-37.828576,145.020462,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Cricket']",,
25,Yarra City Council,Mc Cutcheon Oval,Fairfield,-37.799975,145.008575,Cricket,1.0,Turf Pitch,,,Yarra Bend Road Fairfield,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']",,
26,Yarra City Council,Sir Herbert Olney Oval,Abbotsford,-37.795643,145.00771800000000,Cricket,1.0,Turf Pitch,2. Poor,"Male, Umpire/Officials",Yarra Bend Road Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Cricket']",,
27,Yarra City Council,W J COX,Fairfield,-37.799975,145.008575,Cricket,1.0,Synthetic Pitch,1. Very Poor,Male,Yarra Bend Road Fairfield,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']",,
28,Yarra City Council,Westfield Ovals,Fairfield,-37.795643,145.00771800000000,Cricket,1.0,Concrete Pitch,,,Yarra Bend Road Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']",,
29,Yarra City Council,WT Long Oval,Abbotsford,-37.795643,145.00771800000000,Cricket,1.0,Turf Pitch,,,Yarra Bend Road Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Cricket']",,
30,Yarra City Council,All Seasons Personal Fitness,Richmond,-37.817479,144.99123900000000,Fitness / Gymnasium Workouts,,,,,41 Bridge Road Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
31,Yarra City Council,Andrew Baxter Body Concepts Studio,Richmond,-37.826115,144.990736,Fitness / Gymnasium Workouts,,,,,30 Cremorne Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
32,Yarra City Council,Anytime Fitness Alphington,Alphington,-37.780993,145.031394,Fitness / Gymnasium Workouts,,,,,738 Heidelberg Road Alphington 3067,,"['Yarra City Council', 'Alphington', 'Sports', 'Gymnasium']",,
33,Yarra City Council,Anytime Fitness Richmond,Richmond,-37.820398,145.003818,Fitness / Gymnasium Workouts,,,,,8/53 Coppin Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
34,Yarra City Council,Australian Institute of Fitness,Richmond,-37.824922,144.998156,Fitness / Gymnasium Workouts,1.0,,,,405 Church Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
35,Yarra City Council,Balance & Control Pilates Studio,Richmond,-37.811511,145.007549,Fitness / Gymnasium Workouts,,,,,474 Victoria Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
36,Yarra City Council,Collingwood Housing Estate Gymnasium,Collingwood,-37.80287,144.992863,Fitness / Gymnasium Workouts,1.0,,3. Average,,Hoddle Street Collingwood 3066,,"['Yarra City Council', 'Collingwood', 'Sports', 'Gymnasium']",,
37,Yarra City Council,Collingwood Leisure Centre,Clifton Hill,-37.787996,144.994351,Fitness / Gymnasium Workouts,1.0,,5. Very Good,"Female, Male, Unisex",Turnbull Street Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Gymnasium']",,
38,Yarra City Council,CrossFit Richmond,Richmond,-37.818162,145.00958,Fitness / Gymnasium Workouts,1.0,,,,116 Murphy Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
39,Yarra City Council,CrossFit Victoria,Fitzroy,-37.79594,144.97753,Fitness / Gymnasium Workouts,1.0,,,,62 Rose Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
40,Yarra City Council,CrossFit Victoria,Fitzroy,-37.795964,144.977608,Fitness / Gymnasium Workouts,,,,,2/62 Rose Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
41,Yarra City Council,Curves North Fitzroy,Fitzroy North,-37.78209,144.985022,Fitness / Gymnasium Workouts,,,,,278 St. Georges Road Fitzroy North 3068,,"['Yarra City Council', 'Fitzroy North', 'Sports', 'Gymnasium']",,
42,Yarra City Council,Fitness 24 Hours,Fitzroy,-37.79809,144.97921500000000,Fitness / Gymnasium Workouts,,,,,133 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
43,Yarra City Council,Fitness First,Richmond,-37.82937,144.9964,Fitness / Gymnasium Workouts,1.0,,,,560 Church Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
44,Yarra City Council,Fitness Live,Richmond,-37.820335,145.00245800000000,Fitness / Gymnasium Workouts,,,,,4 Stephenson Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
45,Yarra City Council,Fitness Ring Studio,Richmond,-37.809937,144.994548,Fitness / Gymnasium Workouts,,,,,488 Victoria Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
46,Yarra City Council,fitness Xplosion,Fitzroy North,-37.791351,144.976277,Fitness / Gymnasium Workouts,,,,,St. Georges Road Fitzroy North 3068,,"['Yarra City Council', 'Fitzroy North', 'Sports', 'Gymnasium']",,
47,Yarra City Council,FITROCk,Richmond,-37.824629,144.988844,Fitness / Gymnasium Workouts,1.0,,,,358 Swan Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
48,Yarra City Council,Fitzroy Pilates Studios,Fitzroy,-37.802202,144.977592,Fitness / Gymnasium Workouts,,,,,175 Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
49,Yarra City Council,Fitzroy Swimming Pool,Fitzroy,-37.7939,144.9809,Fitness / Gymnasium Workouts,,,3. Average,"Female, Male",Alexandra Parade Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
50,Yarra City Council,Genesis Richmond,Richmond,-37.82723,145.019798,Fitness / Gymnasium Workouts,1.0,,,,576 Swan Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
51,Yarra City Council,Healthy Fit,Fitzroy North,-37.784533,144.982525,Fitness / Gymnasium Workouts,,,,,191 St. Georges Road Fitzroy North 3068,,"['Yarra City Council', 'Fitzroy North', 'Sports', 'Gymnasium']",,
52,Yarra City Council,Hunts Fitness Centre,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,,,,,41 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
53,Yarra City Council,Hunts Squash & Fitness Centre,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,1.0,,,,41 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
54,Yarra City Council,Hurl's Fitness,Clifton Hill,-37.789497,144.989794,Fitness / Gymnasium Workouts,1.0,,,,107 Queens Parade Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Gymnasium']",,
55,Yarra City Council,Mind and Body,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,,,,,81 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
56,Yarra City Council,Muscle & Body Shape Gym,Richmond,-37.823773,144.992693,Fitness / Gymnasium Workouts,1.0,,,,25 Wangaratta Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
57,Yarra City Council,Pisces Speacilised Fitness,Richmond,-37.817527,144.991455,Fitness / Gymnasium Workouts,1.0,,,,45 Bridge Road Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
58,Yarra City Council,Positive Edge Personal Training,Fitzroy,-37.793324,144.97821000000000,Fitness / Gymnasium Workouts,,,,,83 Alexandra Parade Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
59,Yarra City Council,Richmond  studio and Aerial Divas,Richmond,-37.834325,144.996591,Fitness / Gymnasium Workouts,,,,,252 Church Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
60,Yarra City Council,Richmond Recreation Centre,Richmond,-37.817218,145.000351,Fitness / Gymnasium Workouts,1.0,,4. Good,,Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
61,Yarra City Council,Simon's Personal Training Studio,Fitzroy,-37.804574,144.977401,Fitness / Gymnasium Workouts,,,,,621 Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
62,Yarra City Council,Skulpt Personal Training Richmond Personal Training,Richmond,-37.81816,145.012396,Fitness / Gymnasium Workouts,,,,,103 Murphy Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
63,Yarra City Council,Space Health Club,Richmond,-37.809937,144.994548,Fitness / Gymnasium Workouts,,,,,620 Victoria Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
64,Yarra City Council,Srpt Elysium Health & Lifestyle,Richmond,-37.81928900000000,145.00405,Fitness / Gymnasium Workouts,,,,,374 Bridge Road Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
65,Yarra City Council,The Spin Room,Fitzroy North,-37.782247,144.97800000000000,Fitness / Gymnasium Workouts,,,,,732 Nicholson Street Fitzroy North 3068,,"['Yarra City Council', 'Fitzroy North', 'Sports', 'Gymnasium']",,
66,Yarra City Council,Time 4 Fitness,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,1.0,,,,135 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
67,Yarra City Council,Unique Fitness Studio,Richmond,-37.82548900000000,144.996172,Fitness / Gymnasium Workouts,,,,,33 Waverley Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
68,Yarra City Council,Vibes Fitness,Fitzroy,-37.795572,144.979799,Fitness / Gymnasium Workouts,,,,,106 Leicester Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
69,Yarra City Council,Vigor Health & Fitness,Fitzroy,-37.797612,144.98429300000000,Fitness / Gymnasium Workouts,1.0,,,,393 Smith Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Gymnasium']",,
70,Yarra City Council,Zap Fitness Richmond,Richmond,-37.819201,145.007592,Fitness / Gymnasium Workouts,,,,,509-511 Bridge Road Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Gymnasium']",,
71,Yarra City Council,Burnley Golf Course,Burnley,-37.828576,145.020462,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Golf']",,
72,Yarra City Council,Latrobe Golf Course,Fairfield,-37.786367,145.034196,Golf,1.0,18 Hole Course - Private,,,Farm Road Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Golf']",,
73,Yarra City Council,Yarra Bend Golf Course,Abbotsford,-37.795643,145.00771800000000,Golf,1.0,18 Hole Course - Public,4. Good,Unisex,Yarra Bend Road Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Golf']",,
74,Yarra City Council,Alphington Bowls Club,Alphington,-37.783779,145.029131,Lawn Bowls,2.0,Grass,3. Average,,Parkview Road Alphington 3067,,"['Yarra City Council', 'Alphington', 'Sports']",,
75,Yarra City Council,Fitzroy Victoria Bowls and Sports Club,Fitzroy,-37.78753,144.982377,Lawn Bowls,2.0,Synthetic Pitch,4. Good,,Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports']",,
76,Yarra City Council,Richmond Union Bowling Club,Richmond,-37.817218,145.000351,Lawn Bowls,2.0,Grass,4. Good,,Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports']",,
77,Yarra City Council,Aiki No Michi Aikido,Fitzroy,-37.79807,144.975969,Martial Arts,,,,,207 Johnston Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Martial Arts']",,
78,Yarra City Council,Australian Kung Fu Acadamy,Collingwood,-37.80872700000000,144.98258700000000,Martial Arts,,,,,478 Smith Street Collingwood 3066,,"['Yarra City Council', 'Collingwood', 'Sports', 'Martial Arts']",,
79,Yarra City Council,Dominance Mixed Martial Arts,Richmond,-37.809937,144.994548,Martial Arts,,,,,555 Victoria Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Martial Arts']",,
80,Yarra City Council,Field Aikido Centre,Fitzroy,-37.797968,144.983715,Martial Arts,,,,,214 Kerr Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Martial Arts']",,
81,Yarra City Council,Inner City Systema,Fitzroy,-37.807708,144.98155400000000,Martial Arts,,,,,310 Gore Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Martial Arts']",,
82,Yarra City Council,Seido-Juku Karate,Richmond,-37.824629,144.988844,Martial Arts,,,,,439 Swan Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Martial Arts']",,
83,Yarra City Council,Wing Chun Kung Fu Jee Shin,Abbotsford,-37.805707,144.99234200000000,Martial Arts,,,,,96 Hoddle Street Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Martial Arts']",,
84,Yarra City Council,Mayorâs Park Tennis Courts and Clubhouse,Clifton Hill,-37.787996,144.994351,Netball,2.0,Synthetic,4. Good,"Female, Male",Hoddle Street Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Netball']",,
85,Yarra City Council,Richmond Community Courts,Richmond,-37.817218,145.000351,Netball,2.0,Synthetic,3. Average,"Female, Male",Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Netball']",,
86,Yarra City Council,Ryanâs Reserve Netball and Tennis Facility and Pavilion,Burnley,-37.82731,145.00995600000000,Netball,4.0,Plexipave,3. Average,"Female, Male",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Netball']",,
87,Yarra City Council,Edinburgh Gardens Skate Bowl,Fitzroy North,-37.78661500000000,144.983024,Skating,1.0,,3. Average,,St Georges Road Fitzroy North 3068,,"['Yarra City Council', 'Fitzroy North', 'Sports', 'Skating']",,
88,Yarra City Council,Quarries Park Skate Facility,Fairfield,-37.790643,145.004188,Skating,1.0,,,,Heidelberg Road Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Skating']",,
89,Yarra City Council,Atherton Gardens Reserve,Fitzroy,-37.80331500000000,144.979067,Soccer,1.0,Grass,,,Napier Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Soccer']",,
90,Yarra City Council,Bastow 1 and 2 Soccer Pitches and Gillon Pavilion,Burnley,-37.828576,145.020462,Soccer,2.0,Grass,3. Average,"Male, Umpire/Officials",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Soccer']",,
91,Yarra City Council,Coulson Reserve and Pavilion Soccer Pitch and Pavilion,Clifton Hill,-37.786385,144.99672900000000,Soccer,1.0,Grass,3. Average,"Male, Umpire/Officials",Queens Parade Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Soccer']",,
92,Yarra City Council,Walker Street Soccer Pitch,Fairfield,-37.789873,145.00311100000000,Soccer,1.0,Grass,,,Walker Street Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Soccer']",,
93,Yarra City Council,Yambla Reserve and Pavilion,Fairfield,-37.789873,145.00311100000000,Soccer,1.0,Grass,3. Average,"Male, Umpire/Officials",Walker Street Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Soccer']",,
94,Yarra City Council,Melbourne Royal Tennis,Richmond,-37.818473,144.990382,Tennis (Indoor),,,,,18 Sherwood Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Tennis']",,
95,Yarra City Council,Fitzroy Tennis Courts and Clubhouse,Fitzroy,-37.78753,144.982377,Tennis (Outdoor),6.0,Clay,3. Average,"Female, Male",Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Tennis']",,
96,Moonee Valley City Council,Anytime Fitness Moonee Ponds,Moonee Ponds,-37.765377,144.92349100000000,Aerobics,,,,,683 Mount Alexander Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Aerobics']",,
97,Moonee Valley City Council,Ascot Vale Leisure Centre,Ascot Vale,-37.779307,144.912165,Aerobics,,,4. Good,"Female, Male, Unisex",178 Epsom Road Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Aerobics']",,
98,Moonee Valley City Council,BTB Martials Arts & Fitness Centre,Keilor East,-37.732911,144.8675,Aerobics,,,,,54a Wingara Avenue Keilor East 3033,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Aerobics']",,
99,Moonee Valley City Council,Contours Express Niddrie,Niddrie,-37.73692,144.89281,Aerobics,,,,,2/8 Treadwell Road Niddrie 3042,,"['Moonee Valley City Council', 'Niddrie', 'Sports', 'Aerobics']",,
100,Moonee Valley City Council,Contours Keilor East,Keilor East,-37.74818,144.861839,Aerobics,,,,,34 Amis Crescent Keilor East 3033,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Aerobics']",,
101,Moonee Valley City Council,Contours Moonee Ponds,Moonee Ponds,-37.767,144.9235,Aerobics,,,,,39 Puckle Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Aerobics']",,
102,Moonee Valley City Council,Curves Keilor East,Keilor East,-37.733,144.8675,Aerobics,,,,,44 Wingara Avenue Keilor East 3033,,"['Moonee Valley City Council', 'Keilor East', 'Sports', 'Aerobics']",,
103,Moonee Valley City Council,East Keilor Leisure Centre,East Keilor,-37.738815,144.870789,Aerobics,,,2. Poor,"Female, Male, Unisex",84 Quinn Grove East Keilor 3033,,"['Moonee Valley City Council', 'East Keilor', 'Sports', 'Aerobics']",,
104,Moonee Valley City Council,Fernwood Moonee Ponds,Ascot Vale,-37.7765,144.9285,Aerobics,,,,,3 North Street Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Aerobics']",,
105,Moonee Valley City Council,Fighting Lyons Taekwondo Health & Fitness Centre,North Essendon,-37.74299600000000,144.906,Aerobics,,,,,70 Keilor Road North Essendon 3041,,"['Moonee Valley City Council', 'North Essendon', 'Sports', 'Aerobics']",,
106,Moonee Valley City Council,Fitness First Essendon,Essendon,-37.7455,144.92600000000000,Aerobics,,,,,299-311 Pascoe Vale Road Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Aerobics']",,
107,Moonee Valley City Council,Full Fitness Personal Training,Moonee Ponds,-37.766,144.922,Aerobics,,,,,3 Everage Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Aerobics']",,
108,Moonee Valley City Council,Paramount Health & Fitness Centre,Ascot Vale,-37.775665,144.91557,Aerobics,,,,,142 Union Road Ascot Vale 3032,,"['Moonee Valley City Council', 'Ascot Vale', 'Sports', 'Aerobics']",,
109,Moonee Valley City Council,Re-Creation Health Club Essendon,Essendon,-37.755754,144.90200000000000,Aerobics,,,,,275 Buckley Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Aerobics']",,
110,Moonee Valley City Council,Spark Fitness,Moonee Ponds,-37.77,144.904,Aerobics,,,,,284a Maribyrnong Road Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Aerobics']",,
111,Moonee Valley City Council,Windy Hill Fitness Centre,Essendon,-37.752527,144.918666,Aerobics,,,,,74-84 Napier Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Aerobics']",,
112,Moonee Valley City Council,Aberfeldie Athletic Track,Moonee Ponds,-37.762596,144.901511,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Corio Street Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Athletics']",,
113,Moonee Valley City Council,Aberfeldie Park,Moonee Ponds,-37.763571,144.89985900000000,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male, Umpire/Officials",2-50 Park Crescent Moonee Ponds 3039,,"['Moonee Valley City Council', 'Moonee Ponds', 'Sports', 'Football']",,
114,Moonee Valley City Council,Boeing Reserve,Strathmore Heights,-37.715468,144.900555,Australian Rules Football,1.0,Grass,4. Good,Unisex,Boeing Road Strathmore Heights 3041,,"['Moonee Valley City Council', 'Strathmore Heights', 'Sports', 'Football']",,
115,Moonee Valley City Council,Buckley Park,Essendon,-37.744173,144.896594,Australian Rules Football,2.0,Grass,3. Average,Unisex,Cooper Street Essendon 3040,,"['Moonee Valley City Council', 'Essendon', 'Sports', 'Football']",,
116,Moonee Valley City Council,Canning Reserve,Avondale Heights,-37.768483,144.870675,Australian Rules Football,1.0,Grass,4. Good,Unisex,2 Canning Street Avondale Heights 3034,,"['Moonee Valley City Council', 'Avondale Heights', 'Sports', 'Football']",,
117,Moonee Valley City Council,Clifton Park,Aberfeldie,-37.755988,144.891501,Australian Rules Football,1.0,Grass,3. Average,Unisex,7 Batman Street Aberfeldie 3040,,"['Moonee Valley City Council', 'Aberfeldie', 'Sports', 'Football']",,
